Õ‹ﬁœŒ–“;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
œŒÀ”ÕŒ◊‹;-1;-1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;3;0;0;1;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;3;0;0;0;0;1;0;0;0;1;0;1;2;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
–Œ;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
Œ“ƒ¿¬¿ﬂ—‹;-1;-1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ﬂ;”¬»ƒ≈“‹;3;3;6;10;5;0;1;4;3;2;6;4;8;3;1;3;3;1;7;4;10;11;10;1;4;9;6;5;4;4;6;6;4;5;3;7;4;4;1;0;0;13;4;0;2;3;7;8;0;2;6;6;4;10;1;4;4;10;5;1;6;2;1;9;0;3;0;3;7;5;1;2;3;9;9;5;3;3;2;0;1;2;6;2;11;0;1;6;0;3;7;1;3;1;4;5;1;2;6;1;10;
”—Œ¬≈–ÿ≈Õ—“¬Œ¬¿Õ»≈;-1;-1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
”’Œ;-1;-1;3;5;4;6;4;7;4;4;4;6;5;16;3;0;6;6;5;7;3;14;4;5;0;6;14;8;13;8;7;3;16;0;3;1;4;2;9;3;1;12;3;12;0;5;2;3;6;5;4;26;4;7;4;7;9;8;18;30;4;13;1;14;4;20;4;0;5;6;1;3;9;9;4;13;28;15;5;5;0;0;4;6;10;4;19;11;13;0;14;10;1;5;16;10;13;17;7;4;5;6;
ﬂ;≈—“‹;2;1;7;4;5;2;3;7;7;7;13;9;9;8;0;1;1;12;7;13;3;22;11;7;7;9;14;8;3;0;8;3;4;10;11;6;6;3;2;2;6;8;5;1;5;9;10;2;10;9;2;5;3;7;4;6;7;21;9;5;8;3;4;4;4;3;0;4;17;3;17;6;5;6;7;5;14;10;10;0;0;8;3;3;7;6;4;8;0;5;4;5;7;11;3;7;11;6;5;2;14;
ƒ≈–«»“‹;-1;-1;1;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;1;0;2;0;1;0;0;0;1;0;1;1;1;2;0;0;1;0;0;2;0;1;1;1;9;5;0;2;0;0;1;0;0;0;1;3;1;0;0;1;1;0;0;0;0;0;0;0;0;0;
ﬂ;¬–≈Ãﬂ;3;3;9;11;13;7;11;20;16;7;10;21;16;13;5;20;20;18;10;23;18;8;9;3;12;9;11;6;15;13;13;3;8;21;17;19;10;8;12;3;7;15;19;8;4;10;12;16;12;6;4;8;13;21;24;6;13;13;13;9;17;6;4;17;6;9;0;4;28;15;11;13;6;13;12;11;13;12;10;0;3;9;10;10;17;3;14;14;7;14;8;4;8;4;16;13;4;5;11;8;12;
