нвемэ;бюфмши;1,000000;0,000000;0,000000;0,000000;0,000000;
ндефдю;ъ;1,000000;0,000000;0,000000;0,997460;0,990686;
ъ;бепнърмши;1,000000;0,000000;0,000000;0,000000;0,000000;
ъ;мюьхрэ;0,000000;0,000000;0,000000;0,000000;1,000000;
ъ;явюярэе;0,962471;0,935887;1,000000;0,988272;0,976544;
бднумнбхрэ;0,000000;0,000000;0,000000;0,000000;0,000000;
ъ;окюм;0,954861;0,877778;1,000000;0,954167;0,978472;
яонйнимши;мнвэ;1,000000;0,000000;0,000000;0,000000;0,000000;
опхеуюрэ;ячдю;1,000000;0,000000;0,000000;0,000000;0,000000;
щрнр;бяе;1,000000;0,480890;0,606115;0,640063;0,584083;
ялшяк;ъ;0,814159;0,845535;0,953339;1,000000;0,982301;
ъ;ярюпюрэяъ;1,000000;0,753784;0,549950;0,639758;0,579717;
ъ;оюою;0,000000;0,958561;1,000000;0,913995;0,967944;
щрюф;брнпни;1,000000;0,000000;0,000000;0,000000;0,000000;
меврн;ъ;0,820683;1,000000;0,819154;0,789608;0,739175;
деяърэ;лхмсрэ;1,000000;0,000000;0,000000;0,000000;0,000000;
онкю;ъ;0,500746;0,771439;0,958986;1,000000;0,958240;
онярсохрэ;ъ;1,000000;0,000000;0,000000;0,000000;0,000000;
ъ;анц;0,750072;1,000000;0,968759;0,928840;0,873011;
бпелъ;лмнцн;1,000000;0,000000;0,000000;0,000000;0,000000;
вепрю;онапюрэ;1,000000;0,000000;0,000000;0,000000;0,000000;
ъ;явхрюрэ;1,000000;0,628608;0,420552;0,399619;0,410879;
мекэгъ;ъ;1,000000;0,858039;0,960661;0,948119;0,998860;
щрнр;бнопня;1,000000;0,000000;0,000000;0,000000;0,000000;
гюбрпю;ъ;1,000000;0,766363;0,783702;0,743823;0,750759;
онпъднй;ъ;0,451674;0,717656;1,000000;0,686454;0,609970;
бяе;онпъднй;0,000000;1,000000;0,000000;0,000000;0,000000;
дслюрэ;ъ;1,000000;0,689153;0,474440;0,425299;0,447111;
лшрэ;анц;1,000000;0,000000;0,000000;0,000000;0,000000;
ъ;яопюьхбюрэ;1,000000;0,716103;0,609233;0,562341;0,527081;
днаюбхрэ;ъ;1,000000;0,469775;0,483017;0,503742;0,481290;
цнярэ;ъ;0,000000;1,000000;0,834718;0,976744;0,941030;
меврн;ашрэ;1,000000;0,000000;0,000000;0,000000;0,000000;
ъ;днярюбхрэ;1,000000;0,000000;0,000000;0,000000;0,000000;
йпеойн;ъ;0,557029;1,000000;0,525641;0,581786;0,583996;
ядекюрэ;лнвэ;1,000000;0,000000;0,000000;0,000000;0,000000;
бевеп;ъ;0,790195;0,803901;0,837638;1,000000;0,976278;
яонйнимши;ъ;0,608972;0,995150;1,000000;0,875417;0,885117;
ъ;щрнр;0,398878;0,934712;1,000000;0,988346;0,977121;
онмюднахрэяъ;ъ;1,000000;0,637523;0,000000;0,000000;0,000000;
хгаецюбьхи;0,000000;0,000000;0,000000;0,000000;0,000000;
йнфю;ъ;1,000000;0,818709;0,000000;0,772299;0,784627;
янбепьеммши;ъ;0,944536;1,000000;0,975900;0,909871;0,875867;
