мюбепмъйю;ъ;1,000000;0,000000;0,559755;0,565314;0,591996;
онгбнкърэ;ъ;1,000000;0,000000;0,000000;0,000000;0,000000;
ъ;якедхрэ;0,000000;1,000000;0,000000;0,000000;0,000000;
ъ;меанкэьни;0,000000;0,000000;1,000000;0,930150;0,899204;
ъ;вепрю;0,746816;1,000000;0,785648;0,769804;0,767630;
ъ;медекъ;0,734821;0,770628;0,831863;0,925791;1,000000;
бмегюомши;ъ;1,000000;0,820165;0,792050;0,869123;0,802230;
мюгбюрэ;ъ;1,000000;0,000000;0,000000;0,000000;0,000000;
ъ;анърэяъ;1,000000;0,953350;0,644845;0,584181;0,608562;
ярнърэ;ъ;1,000000;0,668663;0,659215;0,690619;0,733999;
ъ;меан;0,000000;0,000000;0,000000;0,000000;1,000000;
